"","X1","X2"
"659",-74.05861,40.007602
"660",-74.050869,40.04138
"661",-74.052633,40.028685
"662",-74.036641,40.096687
"663",-74.142046,39.691799
"664",-75.138243,38.287233
"665",-74.050874,40.041562
"666",-74.51262,39.321332
"667",-74.058667,40.007635
"668",-74.141858,39.691725
"669",-74.035697,40.096539
"670",-74.706506,39.135638
"671",-75.138066,38.287614
"672",-74.141746,39.691591
"673",-74.052667,40.028466
"674",-73.357062,40.669342
"675",-74.03585,40.09656
"676",-74.050818,40.041761
"677",-74.139826,39.69746
"678",-74.706559,39.135488
"679",-75.138103,38.287513
"680",-74.050756,40.041957
"681",-74.036561,40.106933
"682",-74.156348,39.675385
"683",-74.497562,39.329649
"684",-74.052832,40.028246
"685",-75.138136,38.287423
"686",-74.050649,40.042306
"687",-74.058806,40.007674
"688",-74.724441,39.105483
"689",-74.076506,39.946773
"690",-74.706766,39.136027
"691",-75.138203,38.287338
"692",-75.138203,38.287338
"693",-74.724785,39.105412
"694",-74.206807,39.606063
"695",-74.058876,40.007699
"696",-74.052957,40.027953
"697",-74.724954,39.1055
"698",-75.138632,38.287395
"699",-74.725058,39.105577
"700",-74.050464,40.039535
"701",-74.058938,40.007732
"702",-74.067869,39.962131
"703",-74.076687,39.946691
"704",-74.725345,39.105645
"705",-74.068043,39.962096
"706",-75.138195,38.288058
"707",-74.068204,39.962158
"708",-74.206663,39.606244
"709",-74.076783,39.946673
"710",-74.035962,40.096541
"711",-74.725496,39.105733
"712",-75.138567,38.287458
"713",-74.068381,39.962162
"714",-74.131205,40.448053
"715",-74.059048,40.007769
"716",-74.068585,39.962156
"717",-74.141565,39.69161
"718",-75.075001,38.352482
"719",-74.725638,39.105808
"720",-74.052847,40.027686
"721",-74.068781,39.962164
"722",-75.138243,38.287976
"723",-74.142252,39.692411
"724",-74.068953,39.962197
"725",-74.03608,40.096541
"726",-74.725667,39.105947
"727",-74.076964,39.946687
"728",-74.068953,39.962337
"729",-75.138506,38.287541
"730",-74.511811,39.321598
"731",-74.059926,39.99841
"732",-74.036163,40.096548
"733",-74.059918,39.998493
"734",-74.036252,40.09653
"735",-74.077064,39.946734
"736",-74.14207,39.692332
"737",-74.178817,39.643964
"738",-74.003613,40.577708
"739",-74.739955,39.07954
"740",-74.052893,40.027425
"741",-75.067025,38.38222
"742",-74.057723,40.007653
"743",-73.357362,40.669055
"744",-74.067998,39.962431
"745",-74.036351,40.096546
"746",-74.445216,39.373654
"747",-74.206824,39.606314
"748",-74.141869,39.692266
"749",-74.049509,40.039859
"750",-74.511213,39.321876
