Zipcode,Male,Female
 10463  , 5  , 3  
 10464  , 1  , 0  
 10465  , 5  , 4  
 10466  , 2  , 1  
 10467  , 4  , 1  
 10468  , 2  , 1  
 10469  , 1  , 1  
 10470  , 2  , 1  
 10471  , 5  , 0  
 10472  , 4  , 0  
 10473  , 1  , 2  
 10474  , 1  , 2  
 10475  , 2  , 1  
 10502  , 1  , 0  
 10504  , 2  , 1  
 10507  , 2  , 0  
 10510  , 2  , 0  
 10512  , 4  , 0  
 10514  , 1  , 0  
 10520  , 2  , 0  
 10522  , 1  , 0  
 10524  , 1  , 0  
 10527  , 1  , 0  
 10528  , 2  , 0  
 10530  , 4  , 0  
 10532  , 2  , 0  
 10533  , 1  , 0  
 10538  , 4  , 1  
 10543  , 1  , 1  
 10547  , 1  , 0  
 10549  , 2  , 0  
 10550  , 2  , 1  
 10552  , 0  , 1  
 10560  , 1  , 0  
 10562  , 2  , 0  
 10566  , 1  , 0  
 10567  , 2  , 0  
 10570  , 2  , 0  
 10573  , 1  , 0  
 10577  , 1  , 0  
 10580  , 5  , 0  
 10583  , 7  , 1  
 10589  , 1  , 0  
 10590  , 0  , 1  
 10591  , 0  , 1  
 10598  , 5  , 0  
 10601  , 1  , 0  
 10603  , 0  , 1  
 10604  , 1  , 0  
 10605  , 1  , 0  
 10606  , 1  , 1  
 10703  , 2  , 0  
 10704  , 4  , 1  
 10705  , 1  , 0  
 10707  , 6  , 0  
 10708  , 6  , 0  
 10709  , 2  , 2  
 10710  , 1  , 3  
 10803  , 7  , 0  
 10804  , 1  , 0  
 10901  , 6  , 0  
 10916  , 1  , 0  
 10918  , 1  , 0  
 10920  , 2  , 0  
 10924  , 1  , 0  
 10925  , 1  , 0  
 10930  , 1  , 0  
 10932  , 1  , 0  
 10940  , 1  , 0  
 10941  , 1  , 0  
 10950  , 6  , 1  
 10952  , 1  , 0  
 10954  , 4  , 1  
 10956  , 4  , 0  
 10960  , 2  , 0  
 10962  , 1  , 0  
 10965  , 5  , 1  
 10968  , 1  , 0  
 10970  , 1  , 1  
 10976  , 1  , 0  
 10977  , 6  , 1  
 10980  , 4  , 1  
 10985  , 1  , 0  
 10987  , 1  , 0  
 10989  , 1  , 0  
 10990  , 5  , 0  
 10992  , 2  , 0  
 10993  , 0  , 1  
 10994  , 1  , 0  
 10998  , 1  , 1  
 11001  , 7  , 0  
 11003  , 2  , 1  
 11010  , 6  , 2  
 11021  , 3  , 0  
 11023  , 2  , 0  
 11030  , 12  , 0  
 11040  , 4  , 3  
 11050  , 6  , 1  
 11096  , 1  , 0  
 11101  , 1  , 2  
 11102  , 1  , 0  
 11103  , 3  , 1  
 11104  , 3  , 1  
 11105  , 3  , 0  
 11106  , 4  , 1  
 11201  , 15  , 8  
 11203  , 4  , 3  
 11204  , 5  , 5  
 11205  , 3  , 1  
 11206  , 4  , 2  
 11207  , 4  , 2  
 11208  , 1  , 6  
 11209  , 16  , 16  
 11210  , 4  , 3  
 11211  , 6  , 1  
 11212  , 2  , 0  
 11213  , 2  , 0  
 11214  , 8  , 7  
 11215  , 10  , 2  
 11216  , 0  , 2  
 11217  , 4  , 2  
 11218  , 10  , 3  
 11219  , 3  , 1  
 11220  , 5  , 1  
 11221  , 6  , 4  
 11222  , 2  , 1  
 11223  , 5  , 4  
 11224  , 2  , 2  
 11225  , 4  , 0  
 11226  , 6  , 1  
 11228  , 6  , 3  
 11229  , 13  , 2  
 11230  , 5  , 3  
 11231  , 2  , 3  
 11232  , 2  , 2  
 11233  , 1  , 3  
 11234  , 16  , 1  
 11235  , 7  , 4  
 11236  , 7  , 4  
 11237  , 1  , 1  
 11238  , 2  , 2  
 11239  , 1  , 0  
 11342  , 1  , 0  
 11354  , 2  , 0  
 11355  , 7  , 8  
 11356  , 3  , 0  
 11357  , 4  , 1  
 11358  , 6  , 0  
 11360  , 3  , 1  
 11361  , 2  , 0  
 11362  , 1  , 2  
 11363  , 2  , 0  
 11364  , 6  , 1  
 11365  , 6  , 0  
 11366  , 2  , 0  
 11367  , 1  , 2  
 11368  , 4  , 0  
 11369  , 3  , 0  
 11370  , 4  , 2  
 11372  , 8  , 1  
 11373  , 5  , 5  
 11374  , 3  , 1  
 11375  , 4  , 4  
 11377  , 6  , 4  
 11378  , 4  , 1  
 11379  , 7  , 4  
 11385  , 13  , 7  
 11411  , 1  , 0  
 11412  , 1  , 0  
 11414  , 2  , 1  
 11415  , 5  , 2  
 11417  , 3  , 0  
 11418  , 4  , 1  
 11419  , 1  , 2  
 11420  , 1  , 5  
 11421  , 2  , 2  
 11422  , 3  , 2  
 11423  , 2  , 0  
 11428  , 1  , 1  
 11432  , 2  , 2  
 11433  , 3  , 1  
 11434  , 5  , 2  
 11435  , 0  , 2  
 11501  , 3  , 0  
 11507  , 2  , 0  
 11509  , 0  , 1  
 11510  , 5  , 0  
 11520  , 2  , 0  
 11530  , 11  , 0  
 11532  , 1  , 0  
 11542  , 2  , 0  
 11545  , 3  , 0  
 11550  , 2  , 2  
 11552  , 8  , 0  
 11553  , 1  , 0  
 11554  , 1  , 1  
 11557  , 2  , 0  
 11559  , 1  , 0  
 11560  , 2  , 0  
 11561  , 4  , 0  
 11563  , 7  , 1  
 11565  , 2  , 1  
 11566  , 6  , 0  
 11569  , 1  , 0  
 11570  , 11  , 4  
 11572  , 7  , 1  
 11576  , 4  , 0  
 11577  , 2  , 1  
 11580  , 9  , 1  
 11581  , 2  , 0  
 11590  , 4  , 0  
 11596  , 4  , 2  
 11691  , 1  , 3  
 11692  , 1  , 0  
 11693  , 1  , 1  
 11694  , 12  , 1  
 11697  , 6  , 1  
 11701  , 2  , 1  
 11702  , 4  , 1  
 11703  , 1  , 0  
 11704  , 3  , 0  
 11705  , 1  , 0  
 11706  , 0  , 2  
 11709  , 1  , 0  
 11710  , 9  , 3  
 11713  , 0  , 1  
 11714  , 3  , 0  
 11716  , 2  , 0  
 11717  , 1  , 0  
 11720  , 2  , 0  
 11721  , 2  , 0  
 11725  , 2  , 0  
 11726  , 0  , 1  
 11727  , 2  , 1  
 11729  , 2  , 0  
 11730  , 1  , 0  
 11731  , 3  , 0  
 11732  , 1  , 0  
 11733  , 1  , 0  
 11735  , 6  , 2  
 11738  , 3  , 1  
 11740  , 1  , 0  
 11741  , 5  , 0  
 11742  , 2  , 0  
 11743  , 12  , 0  
 11746  , 6  , 0  
 11747  , 3  , 0  
 11751  , 1  , 1  
 11752  , 2  , 0  
 11753  , 1  , 0  
 11754  , 3  , 1  
 11756  , 7  , 0  
 11757  , 6  , 1  
 11758  , 7  , 0  
 11762  , 6  , 0  
 11763  , 2  , 0  
 11764  , 1  , 0  
 11766  , 1  , 0  
 11767  , 2  , 1  
 11768  , 5  , 0  
 11769  , 2  , 0  
 11771  , 4  , 0  
 11772  , 3  , 0  
 11777  , 2  , 0  
 11779  , 5  , 0  
 11780  , 3  , 0  
 11782  , 3  , 0  
 11783  , 4  , 0  
 11784  , 3  , 0  
 11787  , 4  , 0  
 11788  , 3  , 0  
 11790  , 1  , 0  
 11791  , 2  , 1  
 11793  , 8  , 0  
 11795  , 6  , 0  
 11797  , 1  , 0  
 11801  , 5  , 1  
 11803  , 2  , 1  
 11901  , 1  , 0  
 11933  , 1  , 1  
 11939  , 1  , 0  
 11949  , 1  , 0  
 11950  , 1  , 0  
 11954  , 1  , 0  
 11959  , 0  , 1  
 11960  , 1  , 0  
 11963  , 1  , 0  
 11972  , 1  , 0  
 12020  , 0  , 1  
 12498  , 1  , 0  
 12508  , 1  , 0  
 12518  , 1  , 0  
 12538  , 1  , 0  
 12543  , 1  , 0  
 12550  , 5  , 0  
 12563  , 2  , 0  
 12577  , 1  , 0  
 12589  , 1  , 0  
 12590  , 1  , 0  
 12601  , 1  , 0  
 12603  , 2  , 0  
 12771  , 1  , 0  
 12866  , 1  , 0  
 13068  , 0  , 1  
 13152  , 1  , 0  
 14534  , 1  , 0  
 16305  , 2  , 0  
 18013  , 0  , 1  
 18104  , 1  , 0  
 18201  , 1  , 0  
 18210  , 1  , 0  
 18301  , 2  , 0  
 18360  , 0  , 1  
 18428  , 1  , 0  
 18610  , 1  , 0  
 18938  , 1  , 0  
 18964  , 1  , 0  
 19030  , 1  , 0  
 19047  , 2  , 1  
 19067  , 5  , 0  
 19103  , 1  , 0  
 19130  , 1  , 0  
 19131  , 1  , 0  
 19301  , 1  , 0  
 19342  , 1  , 0  
 19380  , 1  , 0  
 19422  , 1  , 0  
 19807  , 1  , 0  
 20111  , 1  , 0  
 20755  , 1  , 0  
 20878  , 1  , 0  
 21009  , 1  , 0  
 21601  , 1  , 0  
 22102  , 1  , 0  
 22192  , 1  , 0  
 30075  , 1  , 0  
 30092  , 1  , 0  
 30134  , 1  , 0  
 32176  , 1  , 0  
 33139  , 1  , 0  
 33186  , 1  , 0  
 33483  , 1  , 0  
 38120  , 1  , 0  
 44141  , 1  , 0  
 45040  , 0  , 1  
 48304  , 1  , 0  
 48306  , 0  , 1  
 50208  , 1  , 0  
 60521  , 2  , 0  
 60611  , 0  , 1  
 60613  , 0  , 1  
 60631  , 0  , 2  
 60646  , 0  , 1  
 61061  , 0  , 1  
 64081  , 0  , 1  
 64501  , 1  , 0  
 70471  , 1  , 0  
 75070  , 1  , 1  
 75204  , 1  , 0  
 77346  , 0  , 1  
 77450  , 1  , 0  
 80122  , 1  , 0  
 80209  , 0  , 1  
 84037  , 0  , 1  
 85284  , 1  , 0  
 88310  , 1  , 0  
 90007  , 1  , 0  
 90024  , 1  , 1  
 90045  , 0  , 1  
 90049  , 0  , 1  
 90069  , 3  , 0  
 90230  , 1  , 0  
 90290  , 1  , 0  
 90402  , 0  , 1  
 90405  , 1  , 0  
 90505  , 1  , 0  
 90650  , 1  , 0  
 90703  , 1  , 0  
 90706  , 1  , 0  
 90723  , 0  , 1  
 90803  , 0  , 1  
 91311  , 1  , 0  
 91405  , 1  , 0  
 91709  , 1  , 0  
 92008  , 1  , 0  
 92131  , 1  , 0  
 92264  , 0  , 1  
 92688  , 0  , 1  
 92808  , 1  , 0  
 94110  , 0  , 1  
 94115  , 1  , 0  
 94506  , 1  , 0  
 94947  , 1  , 0  
, 13  , 8  
 .  , 0  , 1  
